,index,runs,time,residual,event_of_run,event_nr,event_mean_residual,event_total_residual,nr_of_days,month,doy,week,country
31955,411550,h124,2006-01-16 12:00:00,709499.0539190667,4,41,727692.6050124838,16009237.310274644,22,1,16,52,ESP
31956,411551,h124,2006-01-17 12:00:00,709499.0539190666,4,41,727692.6050124838,16009237.310274644,22,1,17,52,ESP
31957,411552,h124,2006-01-18 12:00:00,709499.0539190666,4,41,727692.6050124838,16009237.310274644,22,1,18,52,ESP
31958,411553,h124,2006-01-19 12:00:00,709499.0539190667,4,41,727692.6050124838,16009237.310274644,22,1,19,52,ESP
31959,411554,h124,2006-01-20 12:00:00,709499.0539190667,4,41,727692.6050124838,16009237.310274644,22,1,20,52,ESP
31960,411557,h124,2006-01-23 12:00:00,751015.5492151948,4,41,727692.6050124838,16009237.310274644,22,1,23,52,ESP
31961,411558,h124,2006-01-24 12:00:00,740541.7948200388,4,41,727692.6050124838,16009237.310274644,22,1,24,52,ESP
31962,411560,h124,2006-01-26 12:00:00,751015.5492151948,4,41,727692.6050124838,16009237.310274644,22,1,26,52,ESP
31963,411561,h124,2006-01-27 12:00:00,751015.5492151948,4,41,727692.6050124838,16009237.310274644,22,1,27,52,ESP
31964,411563,h124,2006-01-29 12:00:00,717165.5856366503,4,41,727692.6050124838,16009237.310274644,22,1,29,52,ESP
31965,411564,h124,2006-01-30 12:00:00,751015.5492151945,4,41,727692.6050124838,16009237.310274644,22,1,30,52,ESP
31966,411565,h124,2006-01-31 12:00:00,751015.5492151948,4,41,727692.6050124838,16009237.310274644,22,1,31,52,ESP
31967,411566,h124,2006-02-01 12:00:00,751015.5492151947,4,41,727692.6050124838,16009237.310274644,22,1,32,52,ESP
31968,411567,h124,2006-02-02 12:00:00,751015.5492151948,4,41,727692.6050124838,16009237.310274644,22,1,33,52,ESP
31969,411568,h124,2006-02-03 12:00:00,751015.5492151948,4,41,727692.6050124838,16009237.310274644,22,1,34,52,ESP
31970,411571,h124,2006-02-06 12:00:00,714444.5955716348,4,41,727692.6050124838,16009237.310274644,22,1,37,52,ESP
31971,522125,h155,2004-01-01 12:00:00,720089.4111413234,4,42,755737.5156976838,15870487.82965136,21,1,1,2,ESP
31972,522126,h155,2004-01-02 12:00:00,720089.4111413232,4,42,755737.5156976838,15870487.82965136,21,1,2,2,ESP
31973,522129,h155,2004-01-05 12:00:00,751954.1563317063,4,42,755737.5156976838,15870487.82965136,21,1,5,2,ESP
31974,522130,h155,2004-01-06 12:00:00,773646.2176028943,4,42,755737.5156976838,15870487.82965136,21,1,6,2,ESP
